;num_obs;lambda;metric
0;25;0.001;0.1741573033707865
1;25;0.0011721022975334804;0.1737891737891738
2;25;0.0013738237958832624;0.170767004341534
3;25;0.0016102620275609393;0.17101449275362318
4;25;0.0018873918221350976;0.17033773861967694
5;25;0.00221221629107045;0.16964285714285715
6;25;0.002592943797404667;0.167427701674277
7;25;0.0030391953823131978;0.16848673946957876
8;25;0.003562247890262444;0.17432646592709986
9;25;0.0041753189365604;0.17520661157024794
10;25;0.004893900918477494;0.1718213058419244
11;25;0.005736152510448681;0.16961130742049468
12;25;0.006723357536499335;0.17325800376647835
13;25;0.007880462815669913;0.17857142857142858
14;25;0.009236708571873866;0.18683651804670914
15;25;0.010826367338740546;0.19047619047619047
16;25;0.01268961003167922;0.19117647058823528
17;25;0.01487352107293511;0.20744680851063832
18;25;0.017433288221999882;0.18497109826589594
19;25;0.020433597178569417;0.19736842105263155
20;25;0.02395026619987486;0.20224719101123592
21;25;0.02807216203941177;0.19383259911894274
22;25;0.03290344562312668;0.2032085561497326
23;25;0.03856620421163472;0.217687074829932
24;25;0.04520353656360243;0.20689655172413793
25;25;0.05298316906283707;0.14893617021276598
26;25;0.06210169418915616;0.048192771084337345
27;25;0.0727895384398315;0.027777777777777776
28;25;0.08531678524172806;0.028169014084507046
29;25;0.1;0.0
30;56;0.001;0.16666666666666666
31;56;0.0011721022975334804;0.16944801026957637
32;56;0.0013738237958832624;0.17277486910994763
33;56;0.0016102620275609393;0.17297297297297295
34;56;0.0018873918221350976;0.1754874651810585
35;56;0.00221221629107045;0.17841726618705037
36;56;0.002592943797404667;0.18507462686567167
37;56;0.0030391953823131978;0.1838006230529595
38;56;0.003562247890262444;0.191869918699187
39;56;0.0041753189365604;0.19999999999999998
40;56;0.004893900918477494;0.2043010752688172
41;56;0.005736152510448681;0.21153846153846154
42;56;0.006723357536499335;0.2167689161554192
43;56;0.007880462815669913;0.22559652928416485
44;56;0.009236708571873866;0.22632794457274827
45;56;0.010826367338740546;0.23979591836734693
46;56;0.01268961003167922;0.25142857142857145
47;56;0.01487352107293511;0.24915824915824913
48;56;0.017433288221999882;0.260536398467433
49;56;0.020433597178569417;0.2782608695652174
50;56;0.02395026619987486;0.2994652406417112
51;56;0.02807216203941177;0.3116883116883117
52;56;0.03290344562312668;0.2831858407079646
53;56;0.03856620421163472;0.23404255319148934
54;56;0.04520353656360243;0.125
55;56;0.05298316906283707;0.028169014084507046
56;56;0.06210169418915616;0.0
57;56;0.0727895384398315;0.0
58;56;0.08531678524172806;0.0
59;56;0.1;0.0
60;128;0.001;0.17245817245817247
61;128;0.0011721022975334804;0.1732283464566929
62;128;0.0013738237958832624;0.1778975741239892
63;128;0.0016102620275609393;0.18384401114206128
64;128;0.0018873918221350976;0.19158200290275762
65;128;0.00221221629107045;0.19578313253012047
66;128;0.002592943797404667;0.20217729393468115
67;128;0.0030391953823131978;0.20129870129870128
68;128;0.003562247890262444;0.2027027027027027
69;128;0.0041753189365604;0.21164021164021163
70;128;0.004893900918477494;0.2205607476635514
71;128;0.005736152510448681;0.24166666666666664
72;128;0.006723357536499335;0.2557077625570776
73;128;0.007880462815669913;0.2656641604010025
74;128;0.009236708571873866;0.29565217391304344
75;128;0.010826367338740546;0.30927835051546393
76;128;0.01268961003167922;0.34453781512605036
77;128;0.01487352107293511;0.3979591836734694
78;128;0.017433288221999882;0.4294478527607362
79;128;0.020433597178569417;0.3880597014925373
80;128;0.02395026619987486;0.3697478991596638
81;128;0.02807216203941177;0.2857142857142857
82;128;0.03290344562312668;0.15384615384615383
83;128;0.03856620421163472;0.1095890410958904
84;128;0.04520353656360243;0.08333333333333333
85;128;0.05298316906283707;0.05633802816901409
86;128;0.06210169418915616;0.02857142857142857
87;128;0.0727895384398315;0.0
88;128;0.08531678524172806;0.0
89;128;0.1;0.0
90;291;0.001;0.17718120805369128
91;291;0.0011721022975334804;0.17881705639614853
92;291;0.0013738237958832624;0.1833568406205924
93;291;0.0016102620275609393;0.1874084919472914
94;291;0.0018873918221350976;0.19325153374233126
95;291;0.00221221629107045;0.19776714513556617
96;291;0.002592943797404667;0.20945945945945946
97;291;0.0030391953823131978;0.22021660649819497
98;291;0.003562247890262444;0.2270058708414873
99;291;0.0041753189365604;0.24369747899159666
100;291;0.004893900918477494;0.2565320665083135
101;291;0.005736152510448681;0.2880434782608695
102;291;0.006723357536499335;0.3181818181818182
103;291;0.007880462815669913;0.3458646616541354
104;291;0.009236708571873866;0.37500000000000006
105;291;0.010826367338740546;0.4342857142857143
106;291;0.01268961003167922;0.47058823529411764
107;291;0.01487352107293511;0.49230769230769234
